destination,passanger,weather,temperature,time,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,Y,Bar_ord,CoffeeHouse_ord,CarryAway_ord,RestaurantLessThan20_ord,Restaurant20To50_ord,age_ord,income_ord,education_ord,Cluster,PC1,PC2
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,50plus,Married partner,1,Some college - no degree,Personal Care & Service,$87500 - $99999,never,gt8,less1,1~3,less1,1,0,0,0,0,4,1,2,1,7,7,2,1,-0.4872400681479925,1.1398565214278407
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,50plus,Married partner,1,Some college - no degree,Personal Care & Service,$87500 - $99999,never,gt8,less1,1~3,less1,1,0,0,0,0,4,1,2,1,7,7,2,1,-0.4872400681479925,1.1398565214278407
Home,Alone,Sunny,80,6PM,2h,Female,50plus,Married partner,1,Some college - no degree,Personal Care & Service,$87500 - $99999,never,gt8,less1,1~3,less1,0,0,1,0,0,4,1,2,1,7,7,2,1,-0.4872400681479925,1.1398565214278407
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Business & Financial,$37500 - $49999,less1,gt8,1~3,1~3,1~3,1,0,0,0,1,4,2,2,2,7,3,5,1,0.8265485849039259,1.443734483081919
Home,Alone,Sunny,80,6PM,2h,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Business & Financial,$37500 - $49999,less1,gt8,1~3,1~3,1~3,0,0,1,0,1,4,2,2,2,7,3,5,1,0.8265485849039259,1.443734483081919
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,21,Married partner,1,Some college - no degree,Student,$12500 - $24999,1~3,1~3,4~8,4~8,never,1,0,0,1,2,2,3,3,0,1,1,2,2,0.26834051638411427,-2.002193387718335
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,21,Married partner,1,Some college - no degree,Student,$12500 - $24999,1~3,1~3,4~8,4~8,never,1,0,0,1,2,2,3,3,0,1,1,2,2,0.26834051638411427,-2.002193387718335
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,21,Married partner,1,Some college - no degree,Student,$12500 - $24999,1~3,1~3,4~8,4~8,never,1,0,0,0,2,2,3,3,0,1,1,2,2,0.26834051638411427,-2.002193387718335
Home,Alone,Sunny,80,6PM,2h,Female,21,Married partner,1,Some college - no degree,Student,$12500 - $24999,1~3,1~3,4~8,4~8,never,0,0,1,0,2,2,3,3,0,1,1,2,2,0.26834051638411427,-2.002193387718335
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,36,Unmarried partner,0,Associates degree,Unemployed,$75000 - $87499,never,never,gt8,gt8,1~3,1,0,0,0,0,0,4,4,2,4,6,3,3,1.3182793829067405,0.7709833402497528
No Urgent Place,Partner,Sunny,30,10AM,1d,Female,36,Unmarried partner,0,Associates degree,Unemployed,$75000 - $87499,never,never,gt8,gt8,1~3,1,0,0,0,0,0,4,4,2,4,6,3,3,1.3182793829067405,0.7709833402497528
Home,Alone,Sunny,80,6PM,2h,Female,36,Unmarried partner,0,Associates degree,Unemployed,$75000 - $87499,never,never,gt8,gt8,1~3,0,0,1,0,0,0,4,4,2,4,6,3,3,1.3182793829067405,0.7709833402497528
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3,1,0,0,0,0,2,2,2,2,1,4,3,2,-0.11438324592627973,-0.2934581985648454
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3,1,0,0,0,0,2,2,2,2,1,4,3,2,-0.11438324592627973,-0.2934581985648454
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3,1,0,0,0,0,2,2,2,2,1,4,3,2,-0.11438324592627973,-0.2934581985648454
Home,Alone,Sunny,80,6PM,2h,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3,0,0,1,0,0,2,2,2,2,1,4,3,2,-0.11438324592627973,-0.2934581985648454
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,21,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,1~3,1~3,less1,1~3,never,1,0,0,1,2,2,1,2,0,1,2,4,2,-0.9985476470968498,-0.5341524183286961
No Urgent Place,Partner,Sunny,30,10AM,1d,Female,21,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,1~3,1~3,less1,1~3,never,1,0,0,1,2,2,1,2,0,1,2,4,2,-0.9985476470968498,-0.5341524183286961
Home,Alone,Sunny,80,6PM,2h,Female,21,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,1~3,1~3,less1,1~3,never,0,0,1,0,2,2,1,2,0,1,2,4,2,-0.9985476470968498,-0.5341524183286961
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,41,Single,0,Some college - no degree,Arts Design Entertainment Sports & Media,$12500 - $24999,never,never,1~3,1~3,never,1,0,0,1,0,0,2,2,0,5,1,2,1,-2.2070655427830346,-0.5163272447505266
Home,Alone,Sunny,80,6PM,2h,Male,41,Single,0,Some college - no degree,Arts Design Entertainment Sports & Media,$12500 - $24999,never,never,1~3,1~3,never,0,0,1,0,0,0,2,2,0,5,1,2,1,-2.2070655427830346,-0.5163272447505266
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,26,Single,0,Bachelors degree,Business & Financial,$100000 or More,4~8,1~3,less1,1~3,less1,1,0,0,1,3,2,1,2,1,2,8,4,3,0.21209423590489251,1.0088841235024995
Home,Alone,Sunny,80,6PM,2h,Male,26,Single,0,Bachelors degree,Business & Financial,$100000 or More,4~8,1~3,less1,1~3,less1,0,0,1,0,3,2,1,2,1,2,8,4,3,0.21209423590489251,1.0088841235024995
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,31,Married partner,0,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,1~3,4~8,less1,4~8,less1,1,0,0,1,2,3,1,3,1,3,6,5,3,0.7084051838084413,1.3054197651362682
No Urgent Place,Partner,Sunny,30,10AM,1d,Male,31,Married partner,0,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,1~3,4~8,less1,4~8,less1,1,0,0,0,2,3,1,3,1,3,6,5,3,0.7084051838084413,1.3054197651362682
Home,Alone,Sunny,80,6PM,2h,Male,31,Married partner,0,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,1~3,4~8,less1,4~8,less1,0,0,1,0,2,3,1,3,1,3,6,5,3,0.7084051838084413,1.3054197651362682
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,less1,1,0,0,1,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
No Urgent Place,Partner,Sunny,30,10AM,1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,less1,1,0,0,1,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
Home,Alone,Sunny,80,6PM,2h,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,less1,0,0,1,0,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Business & Financial,$87500 - $99999,less1,1~3,4~8,1~3,less1,1,0,0,0,1,2,3,2,1,5,7,5,3,0.36894277112192453,1.8838655279242937
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Business & Financial,$87500 - $99999,less1,1~3,4~8,1~3,less1,1,0,0,0,1,2,3,2,1,5,7,5,3,0.36894277112192453,1.8838655279242937
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Business & Financial,$87500 - $99999,less1,1~3,4~8,1~3,less1,1,0,0,1,1,2,3,2,1,5,7,5,3,0.36894277112192453,1.8838655279242937
Home,Alone,Sunny,80,6PM,2h,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Business & Financial,$87500 - $99999,less1,1~3,4~8,1~3,less1,0,0,1,0,1,2,3,2,1,5,7,5,3,0.36894277112192453,1.8838655279242937
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,1~3,1~3,less1,1~3,less1,1,0,0,0,2,2,1,2,1,7,7,5,3,-0.24236524269748588,2.505831135590183
No Urgent Place,Partner,Sunny,30,10AM,1d,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,1~3,1~3,less1,1~3,less1,1,0,0,0,2,2,1,2,1,7,7,5,3,-0.24236524269748588,2.505831135590183
Home,Alone,Sunny,80,6PM,2h,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,1~3,1~3,less1,1~3,less1,0,0,1,0,2,2,1,2,1,7,7,5,3,-0.24236524269748588,2.505831135590183
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,never,never,less1,1~3,1~3,1,0,0,0,0,0,1,2,2,4,8,5,3,-0.9154158475004105,2.599648078038634
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,never,never,less1,1~3,1~3,1,0,0,0,0,0,1,2,2,4,8,5,3,-0.9154158475004105,2.599648078038634
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,never,never,less1,1~3,1~3,1,0,0,1,0,0,1,2,2,4,8,5,3,-0.9154158475004105,2.599648078038634
Home,Alone,Sunny,80,6PM,2h,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$100000 or More,never,never,less1,1~3,1~3,0,0,1,0,0,0,1,2,2,4,8,5,3,-0.9154158475004105,2.599648078038634
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,less1,0,0,0,0,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
No Urgent Place,Partner,Sunny,55,2PM,1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,less1,0,0,0,0,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
Home,Alone,Rainy,55,6PM,1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,less1,1,1,0,0,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
Home,Partner,Sunny,55,10PM,1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,less1,1,1,0,1,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
Work,Alone,Sunny,30,7AM,1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,less1,1,0,1,1,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
Work,Alone,Rainy,55,7AM,1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,gt8,4~8,less1,1,1,0,0,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,1~3,1~3,0,0,0,0,0,2,2,2,2,2,4,4,2,-0.06485317419869883,0.4072174226272242
Home,Kid(s),Sunny,30,6PM,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,1~3,1~3,1,0,0,1,0,2,2,2,2,2,4,4,2,-0.06485317419869883,0.4072174226272242
Home,Alone,Rainy,55,6PM,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,1~3,1~3,1,1,0,0,0,2,2,2,2,2,4,4,2,-0.06485317419869883,0.4072174226272242
Work,Alone,Sunny,30,7AM,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,1~3,1~3,1,0,1,0,0,2,2,2,2,2,4,4,2,-0.06485317419869883,0.4072174226272242
Work,Alone,Rainy,55,7AM,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,1~3,1~3,1,1,0,0,0,2,2,2,2,2,4,4,2,-0.06485317419869883,0.4072174226272242
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,26,Single,0,Graduate degree (Masters or Doctorate),Healthcare Support,$37500 - $49999,4~8,1~3,4~8,1~3,less1,0,0,0,1,3,2,3,2,1,2,3,5,0,0.8890402216122762,0.03277053210405014
Home,Alone,Rainy,55,6PM,1d,Male,26,Single,0,Graduate degree (Masters or Doctorate),Healthcare Support,$37500 - $49999,4~8,1~3,4~8,1~3,less1,1,1,0,1,3,2,3,2,1,2,3,5,0,0.8890402216122762,0.03277053210405014
Work,Alone,Sunny,30,7AM,1d,Male,26,Single,0,Graduate degree (Masters or Doctorate),Healthcare Support,$37500 - $49999,4~8,1~3,4~8,1~3,less1,1,0,1,1,3,2,3,2,1,2,3,5,0,0.8890402216122762,0.03277053210405014
Work,Alone,Rainy,55,7AM,1d,Male,26,Single,0,Graduate degree (Masters or Doctorate),Healthcare Support,$37500 - $49999,4~8,1~3,4~8,1~3,less1,1,1,0,1,3,2,3,2,1,2,3,5,0,0.8890402216122762,0.03277053210405014
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,26,Unmarried partner,0,Associates degree,Management,$12500 - $24999,less1,less1,4~8,1~3,less1,0,0,0,0,1,1,3,2,1,2,1,3,2,-0.3954005159677727,-1.0185745790458178
No Urgent Place,Partner,Sunny,55,2PM,1d,Male,26,Unmarried partner,0,Associates degree,Management,$12500 - $24999,less1,less1,4~8,1~3,less1,0,0,0,0,1,1,3,2,1,2,1,3,2,-0.3954005159677727,-1.0185745790458178
Home,Alone,Rainy,55,6PM,1d,Male,26,Unmarried partner,0,Associates degree,Management,$12500 - $24999,less1,less1,4~8,1~3,less1,1,1,0,1,1,1,3,2,1,2,1,3,2,-0.3954005159677727,-1.0185745790458178
Home,Partner,Sunny,55,10PM,1d,Male,26,Unmarried partner,0,Associates degree,Management,$12500 - $24999,less1,less1,4~8,1~3,less1,1,1,0,1,1,1,3,2,1,2,1,3,2,-0.3954005159677727,-1.0185745790458178
Work,Alone,Sunny,30,7AM,1d,Male,26,Unmarried partner,0,Associates degree,Management,$12500 - $24999,less1,less1,4~8,1~3,less1,1,0,1,0,1,1,3,2,1,2,1,3,2,-0.3954005159677727,-1.0185745790458178
Work,Alone,Rainy,55,7AM,1d,Male,26,Unmarried partner,0,Associates degree,Management,$12500 - $24999,less1,less1,4~8,1~3,less1,1,1,0,0,1,1,3,2,1,2,1,3,2,-0.3954005159677727,-1.0185745790458178
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,36,Single,0,Graduate degree (Masters or Doctorate),Unemployed,Less than $12500,never,less1,less1,4~8,less1,0,0,0,0,0,1,1,3,1,4,0,5,1,-1.0224861510037733,0.6131023971312985
Home,Alone,Rainy,55,6PM,1d,Male,36,Single,0,Graduate degree (Masters or Doctorate),Unemployed,Less than $12500,never,less1,less1,4~8,less1,1,1,0,0,0,1,1,3,1,4,0,5,1,-1.0224861510037733,0.6131023971312985
Work,Alone,Sunny,30,7AM,1d,Male,36,Single,0,Graduate degree (Masters or Doctorate),Unemployed,Less than $12500,never,less1,less1,4~8,less1,1,0,1,0,0,1,1,3,1,4,0,5,1,-1.0224861510037733,0.6131023971312985
Work,Alone,Rainy,55,7AM,1d,Male,36,Single,0,Graduate degree (Masters or Doctorate),Unemployed,Less than $12500,never,less1,less1,4~8,less1,1,1,0,0,0,1,1,3,1,4,0,5,1,-1.0224861510037733,0.6131023971312985
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,31,Married partner,1,Associates degree,Student,$87500 - $99999,never,4~8,4~8,less1,less1,0,0,0,0,0,3,3,1,1,3,7,3,3,-0.31581659692741054,0.4932948199588843
Home,Kid(s),Sunny,30,6PM,2h,Female,31,Married partner,1,Associates degree,Student,$87500 - $99999,never,4~8,4~8,less1,less1,1,0,0,1,0,3,3,1,1,3,7,3,3,-0.31581659692741054,0.4932948199588843
Home,Alone,Rainy,55,6PM,1d,Female,31,Married partner,1,Associates degree,Student,$87500 - $99999,never,4~8,4~8,less1,less1,1,1,0,0,0,3,3,1,1,3,7,3,3,-0.31581659692741054,0.4932948199588843
Work,Alone,Sunny,30,7AM,1d,Female,31,Married partner,1,Associates degree,Student,$87500 - $99999,never,4~8,4~8,less1,less1,1,0,1,0,0,3,3,1,1,3,7,3,3,-0.31581659692741054,0.4932948199588843
Work,Alone,Rainy,55,7AM,1d,Female,31,Married partner,1,Associates degree,Student,$87500 - $99999,never,4~8,4~8,less1,less1,1,1,0,0,0,3,3,1,1,3,7,3,3,-0.31581659692741054,0.4932948199588843
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,46,Married partner,1,High School Graduate,Transportation & Material Moving,$37500 - $49999,less1,less1,1~3,1~3,never,0,0,0,0,1,1,2,2,0,6,3,1,1,-1.5153183692420842,-0.541354923607888
Home,Kid(s),Sunny,30,6PM,2h,Female,46,Married partner,1,High School Graduate,Transportation & Material Moving,$37500 - $49999,less1,less1,1~3,1~3,never,1,0,0,1,1,1,2,2,0,6,3,1,1,-1.5153183692420842,-0.541354923607888
Home,Alone,Rainy,55,6PM,1d,Female,46,Married partner,1,High School Graduate,Transportation & Material Moving,$37500 - $49999,less1,less1,1~3,1~3,never,1,1,0,0,1,1,2,2,0,6,3,1,1,-1.5153183692420842,-0.541354923607888
Work,Alone,Sunny,30,7AM,1d,Female,46,Married partner,1,High School Graduate,Transportation & Material Moving,$37500 - $49999,less1,less1,1~3,1~3,never,1,0,1,0,1,1,2,2,0,6,3,1,1,-1.5153183692420842,-0.541354923607888
Work,Alone,Rainy,55,7AM,1d,Female,46,Married partner,1,High School Graduate,Transportation & Material Moving,$37500 - $49999,less1,less1,1~3,1~3,never,1,1,0,0,1,1,2,2,0,6,3,1,1,-1.5153183692420842,-0.541354923607888
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,below21,Single,0,Some college - no degree,Food Preparation & Serving Related,$87500 - $99999,less1,gt8,1~3,1~3,less1,0,0,0,0,1,4,2,2,1,0,7,2,2,0.48456896204624544,-0.7096073927585728
Home,Alone,Rainy,55,6PM,1d,Male,below21,Single,0,Some college - no degree,Food Preparation & Serving Related,$87500 - $99999,less1,gt8,1~3,1~3,less1,1,1,0,0,1,4,2,2,1,0,7,2,2,0.48456896204624544,-0.7096073927585728
Work,Alone,Sunny,30,7AM,1d,Male,below21,Single,0,Some college - no degree,Food Preparation & Serving Related,$87500 - $99999,less1,gt8,1~3,1~3,less1,1,0,1,0,1,4,2,2,1,0,7,2,2,0.48456896204624544,-0.7096073927585728
Work,Alone,Rainy,55,7AM,1d,Male,below21,Single,0,Some college - no degree,Food Preparation & Serving Related,$87500 - $99999,less1,gt8,1~3,1~3,less1,1,1,0,0,1,4,2,2,1,0,7,2,2,0.48456896204624544,-0.7096073927585728
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,1~3,less1,4~8,less1,never,0,0,0,0,2,1,3,1,0,1,1,2,2,-1.2155908103917359,-1.9472822312315785
Home,Alone,Rainy,55,6PM,1d,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,1~3,less1,4~8,less1,never,1,1,0,0,2,1,3,1,0,1,1,2,2,-1.2155908103917359,-1.9472822312315785
Work,Alone,Sunny,30,7AM,1d,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,1~3,less1,4~8,less1,never,1,0,1,1,2,1,3,1,0,1,1,2,2,-1.2155908103917359,-1.9472822312315785
Work,Alone,Rainy,55,7AM,1d,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,1~3,less1,4~8,less1,never,1,1,0,1,2,1,3,1,0,1,1,2,2,-1.2155908103917359,-1.9472822312315785
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,less1,gt8,4~8,less1,0,0,0,1,0,1,4,3,1,3,5,4,3,0.5791158342600143,0.5998496550738748
Home,Kid(s),Sunny,30,6PM,2h,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,less1,gt8,4~8,less1,1,0,0,1,0,1,4,3,1,3,5,4,3,0.5791158342600143,0.5998496550738748
Home,Alone,Rainy,55,6PM,1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,less1,gt8,4~8,less1,1,1,0,0,0,1,4,3,1,3,5,4,3,0.5791158342600143,0.5998496550738748
Work,Alone,Sunny,30,7AM,1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,less1,gt8,4~8,less1,1,0,1,0,0,1,4,3,1,3,5,4,3,0.5791158342600143,0.5998496550738748
Work,Alone,Rainy,55,7AM,1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,less1,gt8,4~8,less1,1,1,0,0,0,1,4,3,1,3,5,4,3,0.5791158342600143,0.5998496550738748
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,1~3,1~3,4~8,4~8,less1,0,0,0,0,2,2,3,3,1,2,8,4,3,1.3481027250517996,0.8559384943259322
Home,Kid(s),Sunny,30,6PM,2h,Female,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,1~3,1~3,4~8,4~8,less1,1,0,0,0,2,2,3,3,1,2,8,4,3,1.3481027250517996,0.8559384943259322
Home,Alone,Rainy,55,6PM,1d,Female,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,1~3,1~3,4~8,4~8,less1,1,1,0,1,2,2,3,3,1,2,8,4,3,1.3481027250517996,0.8559384943259322
Work,Alone,Sunny,30,7AM,1d,Female,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,1~3,1~3,4~8,4~8,less1,1,0,1,1,2,2,3,3,1,2,8,4,3,1.3481027250517996,0.8559384943259322
Work,Alone,Rainy,55,7AM,1d,Female,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,1~3,1~3,4~8,4~8,less1,1,1,0,1,2,2,3,3,1,2,8,4,3,1.3481027250517996,0.8559384943259322
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,26,Married partner,1,Bachelors degree,Sales & Related,$25000 - $37499,less1,never,1~3,less1,less1,0,0,0,1,1,0,2,1,1,2,2,4,2,-1.6186434459592913,-0.08206795800028369
Home,Kid(s),Sunny,30,6PM,2h,Male,26,Married partner,1,Bachelors degree,Sales & Related,$25000 - $37499,less1,never,1~3,less1,less1,1,0,0,1,1,0,2,1,1,2,2,4,2,-1.6186434459592913,-0.08206795800028369
Home,Alone,Rainy,55,6PM,1d,Male,26,Married partner,1,Bachelors degree,Sales & Related,$25000 - $37499,less1,never,1~3,less1,less1,1,1,0,1,1,0,2,1,1,2,2,4,2,-1.6186434459592913,-0.08206795800028369
Work,Alone,Sunny,30,7AM,1d,Male,26,Married partner,1,Bachelors degree,Sales & Related,$25000 - $37499,less1,never,1~3,less1,less1,1,0,1,1,1,0,2,1,1,2,2,4,2,-1.6186434459592913,-0.08206795800028369
Work,Alone,Rainy,55,7AM,1d,Male,26,Married partner,1,Bachelors degree,Sales & Related,$25000 - $37499,less1,never,1~3,less1,less1,1,1,0,1,1,0,2,1,1,2,2,4,2,-1.6186434459592913,-0.08206795800028369
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,21,Married partner,0,Some college - no degree,Student,Less than $12500,less1,gt8,4~8,1~3,1~3,0,0,0,1,1,4,3,2,2,1,0,2,0,1.0260054466382544,-2.170250269131821
No Urgent Place,Partner,Sunny,55,2PM,1d,Female,21,Married partner,0,Some college - no degree,Student,Less than $12500,less1,gt8,4~8,1~3,1~3,0,0,0,1,1,4,3,2,2,1,0,2,0,1.0260054466382544,-2.170250269131821
Home,Kid(s),Sunny,30,6PM,2h,Female,21,Married partner,0,Some college - no degree,Student,Less than $12500,less1,gt8,4~8,1~3,1~3,1,0,0,0,1,4,3,2,2,1,0,2,0,1.0260054466382544,-2.170250269131821
Home,Alone,Rainy,55,6PM,1d,Female,21,Married partner,0,Some college - no degree,Student,Less than $12500,less1,gt8,4~8,1~3,1~3,1,1,0,1,1,4,3,2,2,1,0,2,0,1.0260054466382544,-2.170250269131821
Home,Partner,Sunny,55,10PM,1d,Female,21,Married partner,0,Some college - no degree,Student,Less than $12500,less1,gt8,4~8,1~3,1~3,1,1,0,1,1,4,3,2,2,1,0,2,0,1.0260054466382544,-2.170250269131821
Work,Alone,Sunny,30,7AM,1d,Female,21,Married partner,0,Some college - no degree,Student,Less than $12500,less1,gt8,4~8,1~3,1~3,1,0,1,0,1,4,3,2,2,1,0,2,0,1.0260054466382544,-2.170250269131821
Work,Alone,Rainy,55,7AM,1d,Female,21,Married partner,0,Some college - no degree,Student,Less than $12500,less1,gt8,4~8,1~3,1~3,1,1,0,1,1,4,3,2,2,1,0,2,0,1.0260054466382544,-2.170250269131821
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,31,Single,0,Bachelors degree,Office & Administrative Support,$25000 - $37499,never,less1,less1,less1,less1,0,0,0,0,0,1,1,1,1,3,2,4,2,-2.1044963235014955,0.32734728991625944
Home,Alone,Rainy,55,6PM,1d,Male,31,Single,0,Bachelors degree,Office & Administrative Support,$25000 - $37499,never,less1,less1,less1,less1,1,1,0,0,0,1,1,1,1,3,2,4,2,-2.1044963235014955,0.32734728991625944
Work,Alone,Sunny,30,7AM,1d,Male,31,Single,0,Bachelors degree,Office & Administrative Support,$25000 - $37499,never,less1,less1,less1,less1,1,0,1,0,0,1,1,1,1,3,2,4,2,-2.1044963235014955,0.32734728991625944
Work,Alone,Rainy,55,7AM,1d,Male,31,Single,0,Bachelors degree,Office & Administrative Support,$25000 - $37499,never,less1,less1,less1,less1,1,1,0,0,0,1,1,1,1,3,2,4,2,-2.1044963235014955,0.32734728991625944
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,21,Single,0,Bachelors degree,Legal,$87500 - $99999,1~3,never,less1,less1,less1,0,0,0,1,2,0,1,1,1,1,7,4,2,-1.4028147710728,0.8630012224149994
Home,Alone,Rainy,55,6PM,1d,Male,21,Single,0,Bachelors degree,Legal,$87500 - $99999,1~3,never,less1,less1,less1,1,1,0,1,2,0,1,1,1,1,7,4,2,-1.4028147710728,0.8630012224149994
Work,Alone,Sunny,30,7AM,1d,Male,21,Single,0,Bachelors degree,Legal,$87500 - $99999,1~3,never,less1,less1,less1,1,0,1,0,2,0,1,1,1,1,7,4,2,-1.4028147710728,0.8630012224149994
