destination,passanger,weather,temperature,time,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,Y,Bar_ord,CoffeeHouse_ord,CarryAway_ord,RestaurantLessThan20_ord,Restaurant20To50_ord,age_ord,income_ord,education_ord
Home,Alone,Sunny,80,6PM,2h,Female,41,Unmarried partner,1,Some college - no degree,Unemployed,Less than $12500,never,1~3,1~3,4~8,less1,0,0,1,0,0,2,2,3,1,5,0,2
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,36,Single,1,Some college - no degree,Healthcare Practitioners & Technical,$12500 - $24999,never,less1,gt8,4~8,less1,1,0,0,0,0,1,4,3,1,4,1,2
No Urgent Place,Partner,Sunny,30,10AM,1d,Female,36,Single,1,Some college - no degree,Healthcare Practitioners & Technical,$12500 - $24999,never,less1,gt8,4~8,less1,1,0,0,0,0,1,4,3,1,4,1,2
Home,Alone,Sunny,80,6PM,2h,Female,36,Single,1,Some college - no degree,Healthcare Practitioners & Technical,$12500 - $24999,never,less1,gt8,4~8,less1,0,0,1,0,0,1,4,3,1,4,1,2
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,26,Married partner,1,Bachelors degree,Arts Design Entertainment Sports & Media,$50000 - $62499,never,never,less1,less1,less1,1,0,0,0,0,0,1,1,1,2,4,4
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,26,Married partner,1,Bachelors degree,Arts Design Entertainment Sports & Media,$50000 - $62499,never,never,less1,less1,less1,1,0,0,0,0,0,1,1,1,2,4,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,below21,Single,0,Some college - no degree,Healthcare Support,Less than $12500,never,1~3,less1,4~8,less1,1,0,0,1,0,2,1,3,1,0,0,2
No Urgent Place,Partner,Sunny,30,10AM,1d,Female,below21,Single,0,Some college - no degree,Healthcare Support,Less than $12500,never,1~3,less1,4~8,less1,1,0,0,0,0,2,1,3,1,0,0,2
Home,Alone,Sunny,80,6PM,2h,Female,below21,Single,0,Some college - no degree,Healthcare Support,Less than $12500,never,1~3,less1,4~8,less1,0,0,1,0,0,2,1,3,1,0,0,2
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,26,Married partner,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,less1,less1,1~3,less1,less1,1,0,0,0,1,1,2,1,1,2,4,4
Home,Alone,Sunny,80,6PM,2h,Male,26,Married partner,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,less1,less1,1~3,less1,less1,0,0,1,0,1,1,2,1,1,2,4,4
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,36,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$12500 - $24999,never,1~3,less1,1~3,4~8,1,0,0,1,0,2,1,2,3,4,1,2
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,36,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$12500 - $24999,never,1~3,less1,1~3,4~8,1,0,0,1,0,2,1,2,3,4,1,2
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,36,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$12500 - $24999,never,1~3,less1,1~3,4~8,1,0,0,1,0,2,1,2,3,4,1,2
Home,Alone,Sunny,80,6PM,2h,Female,36,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$12500 - $24999,never,1~3,less1,1~3,4~8,0,0,1,1,0,2,1,2,3,4,1,2
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,50plus,Unmarried partner,1,Associates degree,Transportation & Material Moving,$50000 - $62499,never,1~3,4~8,4~8,1~3,1,0,0,0,0,2,3,3,2,7,4,3
No Urgent Place,Partner,Sunny,30,10AM,1d,Male,50plus,Unmarried partner,1,Associates degree,Transportation & Material Moving,$50000 - $62499,never,1~3,4~8,4~8,1~3,1,0,0,0,0,2,3,3,2,7,4,3
Home,Alone,Sunny,80,6PM,2h,Male,50plus,Unmarried partner,1,Associates degree,Transportation & Material Moving,$50000 - $62499,never,1~3,4~8,4~8,1~3,0,0,1,0,0,2,3,3,2,7,4,3
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,50plus,Married partner,1,Associates degree,Retired,$37500 - $49999,never,never,4~8,4~8,never,1,0,0,0,0,0,3,3,0,7,3,3
No Urgent Place,Partner,Sunny,30,10AM,1d,Male,50plus,Married partner,1,Associates degree,Retired,$37500 - $49999,never,never,4~8,4~8,never,1,0,0,0,0,0,3,3,0,7,3,3
Home,Alone,Sunny,80,6PM,2h,Male,50plus,Married partner,1,Associates degree,Retired,$37500 - $49999,never,never,4~8,4~8,never,0,0,1,0,0,0,3,3,0,7,3,3
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,36,Single,0,Some college - no degree,Construction & Extraction,$50000 - $62499,never,never,1~3,less1,less1,1,0,0,0,0,0,2,1,1,4,4,2
Home,Alone,Sunny,80,6PM,2h,Male,36,Single,0,Some college - no degree,Construction & Extraction,$50000 - $62499,never,never,1~3,less1,less1,0,0,1,0,0,0,2,1,1,4,4,2
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,50plus,Married partner,0,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,less1,less1,less1,1~3,1~3,1,0,0,1,1,1,1,2,2,7,4,5
No Urgent Place,Partner,Sunny,30,10AM,1d,Male,50plus,Married partner,0,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,less1,less1,less1,1~3,1~3,1,0,0,1,1,1,1,2,2,7,4,5
Home,Alone,Sunny,80,6PM,2h,Male,50plus,Married partner,0,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,less1,less1,less1,1~3,1~3,0,0,1,1,1,1,1,2,2,7,4,5
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,31,Single,0,Bachelors degree,Unemployed,$100000 or More,never,4~8,gt8,4~8,less1,1,0,0,0,0,3,4,3,1,3,8,4
Home,Alone,Sunny,80,6PM,2h,Female,31,Single,0,Bachelors degree,Unemployed,$100000 or More,never,4~8,gt8,4~8,less1,0,0,1,0,0,3,4,3,1,3,8,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,21,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,less1,never,1~3,4~8,1~3,1,0,0,1,1,0,2,3,2,1,4,2
No Urgent Place,Partner,Sunny,30,10AM,1d,Male,21,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,less1,never,1~3,4~8,1~3,1,0,0,1,1,0,2,3,2,1,4,2
Home,Alone,Sunny,80,6PM,2h,Male,21,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,less1,never,1~3,4~8,1~3,0,0,1,0,1,0,2,3,2,1,4,2
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,21,Unmarried partner,0,Bachelors degree,Business & Financial,$62500 - $74999,4~8,1~3,4~8,1~3,less1,1,0,0,0,3,2,3,2,1,1,5,4
No Urgent Place,Partner,Sunny,30,10AM,1d,Male,21,Unmarried partner,0,Bachelors degree,Business & Financial,$62500 - $74999,4~8,1~3,4~8,1~3,less1,1,0,0,1,3,2,3,2,1,1,5,4
Home,Alone,Sunny,80,6PM,2h,Male,21,Unmarried partner,0,Bachelors degree,Business & Financial,$62500 - $74999,4~8,1~3,4~8,1~3,less1,0,0,1,1,3,2,3,2,1,1,5,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,gt8,gt8,gt8,gt8,gt8,1,0,0,0,4,4,4,4,4,2,3,1
Home,Alone,Sunny,80,6PM,2h,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,gt8,gt8,gt8,gt8,gt8,0,0,1,0,4,4,4,4,4,2,3,1
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,36,Married partner,0,Associates degree,Management,$100000 or More,1~3,1~3,1~3,1~3,1~3,1,0,0,0,2,2,2,2,2,4,8,3
No Urgent Place,Partner,Sunny,30,10AM,1d,Male,36,Married partner,0,Associates degree,Management,$100000 or More,1~3,1~3,1~3,1~3,1~3,1,0,0,1,2,2,2,2,2,4,8,3
Home,Alone,Sunny,80,6PM,2h,Male,36,Married partner,0,Associates degree,Management,$100000 or More,1~3,1~3,1~3,1~3,1~3,0,0,1,0,2,2,2,2,2,4,8,3
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,21,Single,0,Bachelors degree,Unemployed,$100000 or More,less1,4~8,1~3,less1,less1,1,0,0,1,1,3,2,1,1,1,8,4
Home,Alone,Sunny,80,6PM,2h,Male,21,Single,0,Bachelors degree,Unemployed,$100000 or More,less1,4~8,1~3,less1,less1,0,0,1,1,1,3,2,1,1,1,8,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,50plus,Single,1,Bachelors degree,Office & Administrative Support,$37500 - $49999,less1,4~8,1~3,1~3,1~3,1,0,0,0,1,3,2,2,2,7,3,4
Home,Alone,Sunny,80,6PM,2h,Female,50plus,Single,1,Bachelors degree,Office & Administrative Support,$37500 - $49999,less1,4~8,1~3,1~3,1~3,0,0,1,0,1,3,2,2,2,7,3,4
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$37500 - $49999,1~3,gt8,4~8,4~8,less1,1,0,0,1,2,4,3,3,1,2,3,4
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$37500 - $49999,1~3,gt8,4~8,4~8,less1,1,0,0,1,2,4,3,3,1,2,3,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$37500 - $49999,1~3,gt8,4~8,4~8,less1,1,0,0,1,2,4,3,3,1,2,3,4
Home,Alone,Sunny,80,6PM,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$37500 - $49999,1~3,gt8,4~8,4~8,less1,0,0,1,0,2,4,3,3,1,2,3,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,26,Married partner,0,Bachelors degree,Education&Training&Library,$50000 - $62499,never,less1,1~3,1~3,1~3,1,0,0,0,0,1,2,2,2,2,4,4
No Urgent Place,Partner,Sunny,30,10AM,1d,Male,26,Married partner,0,Bachelors degree,Education&Training&Library,$50000 - $62499,never,less1,1~3,1~3,1~3,1,0,0,0,0,1,2,2,2,2,4,4
Home,Alone,Sunny,80,6PM,2h,Male,26,Married partner,0,Bachelors degree,Education&Training&Library,$50000 - $62499,never,less1,1~3,1~3,1~3,0,0,1,0,0,1,2,2,2,2,4,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,never,less1,1~3,gt8,gt8,1,0,0,1,0,1,2,4,4,2,3,2
Home,Alone,Sunny,80,6PM,2h,Female,26,Single,0,Some college - no degree,Healthcare Support,$37500 - $49999,never,less1,1~3,gt8,gt8,0,0,1,1,0,1,2,4,4,2,3,2
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,31,Unmarried partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,4~8,4~8,gt8,4~8,1,0,0,0,0,3,3,4,3,3,5,4
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,31,Unmarried partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,4~8,4~8,gt8,4~8,1,0,0,0,0,3,3,4,3,3,5,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,31,Unmarried partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,4~8,4~8,gt8,4~8,1,0,0,0,0,3,3,4,3,3,5,4
Home,Alone,Sunny,80,6PM,2h,Female,31,Unmarried partner,1,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,4~8,4~8,gt8,4~8,0,0,1,0,0,3,3,4,3,3,5,4
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Male,36,Married partner,1,Bachelors degree,Business & Financial,$75000 - $87499,less1,less1,4~8,1~3,1~3,1,0,0,0,1,1,3,2,2,4,6,4
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Male,36,Married partner,1,Bachelors degree,Business & Financial,$75000 - $87499,less1,less1,4~8,1~3,1~3,1,0,0,0,1,1,3,2,2,4,6,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,36,Married partner,1,Bachelors degree,Business & Financial,$75000 - $87499,less1,less1,4~8,1~3,1~3,1,0,0,0,1,1,3,2,2,4,6,4
Home,Alone,Sunny,80,6PM,2h,Male,36,Married partner,1,Bachelors degree,Business & Financial,$75000 - $87499,less1,less1,4~8,1~3,1~3,0,0,1,0,1,1,3,2,2,4,6,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,26,Unmarried partner,0,Bachelors degree,Management,$25000 - $37499,1~3,never,4~8,never,1~3,1,0,0,1,2,0,3,0,2,2,2,4
No Urgent Place,Partner,Sunny,30,10AM,1d,Male,26,Unmarried partner,0,Bachelors degree,Management,$25000 - $37499,1~3,never,4~8,never,1~3,1,0,0,1,2,0,3,0,2,2,2,4
Home,Alone,Sunny,80,6PM,2h,Male,26,Unmarried partner,0,Bachelors degree,Management,$25000 - $37499,1~3,never,4~8,never,1~3,0,0,1,1,2,0,3,0,2,2,2,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,21,Single,0,Bachelors degree,Unemployed,$50000 - $62499,less1,1~3,1~3,less1,less1,1,0,0,1,1,2,2,1,1,1,4,4
Home,Alone,Sunny,80,6PM,2h,Male,21,Single,0,Bachelors degree,Unemployed,$50000 - $62499,less1,1~3,1~3,less1,less1,0,0,1,1,1,2,2,1,1,1,4,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,31,Single,0,Some college - no degree,Unemployed,$12500 - $24999,1~3,less1,4~8,less1,never,1,0,0,1,2,1,3,1,0,3,1,2
Home,Alone,Sunny,80,6PM,2h,Male,31,Single,0,Some college - no degree,Unemployed,$12500 - $24999,1~3,less1,4~8,less1,never,0,0,1,1,2,1,3,1,0,3,1,2
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,21,Single,0,Bachelors degree,Management,$25000 - $37499,4~8,never,4~8,gt8,1~3,1,0,0,1,3,0,3,4,2,1,2,4
Home,Alone,Sunny,80,6PM,2h,Male,21,Single,0,Bachelors degree,Management,$25000 - $37499,4~8,never,4~8,gt8,1~3,0,0,1,1,3,0,3,4,2,1,2,4
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,50plus,Married partner,1,Some college - no degree,Education&Training&Library,$50000 - $62499,less1,never,4~8,1~3,less1,1,0,0,0,1,0,3,2,1,7,4,2
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,50plus,Married partner,1,Some college - no degree,Education&Training&Library,$50000 - $62499,less1,never,4~8,1~3,less1,1,0,0,0,1,0,3,2,1,7,4,2
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,50plus,Married partner,1,Some college - no degree,Education&Training&Library,$50000 - $62499,less1,never,4~8,1~3,less1,1,0,0,0,1,0,3,2,1,7,4,2
Home,Alone,Sunny,80,6PM,2h,Female,50plus,Married partner,1,Some college - no degree,Education&Training&Library,$50000 - $62499,less1,never,4~8,1~3,less1,0,0,1,0,1,0,3,2,1,7,4,2
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,41,Married partner,1,Associates degree,Education&Training&Library,$62500 - $74999,never,less1,less1,less1,less1,1,0,0,0,0,1,1,1,1,5,5,3
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,41,Married partner,1,Associates degree,Education&Training&Library,$62500 - $74999,never,less1,less1,less1,less1,1,0,0,1,0,1,1,1,1,5,5,3
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,41,Married partner,1,Associates degree,Education&Training&Library,$62500 - $74999,never,less1,less1,less1,less1,1,0,0,0,0,1,1,1,1,5,5,3
Home,Alone,Sunny,80,6PM,2h,Female,41,Married partner,1,Associates degree,Education&Training&Library,$62500 - $74999,never,less1,less1,less1,less1,0,0,1,0,0,1,1,1,1,5,5,3
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,31,Single,0,Some college - no degree,Office & Administrative Support,$12500 - $24999,4~8,never,gt8,1~3,never,1,0,0,1,3,0,4,2,0,3,1,2
Home,Alone,Sunny,80,6PM,2h,Male,31,Single,0,Some college - no degree,Office & Administrative Support,$12500 - $24999,4~8,never,gt8,1~3,never,0,0,1,1,3,0,4,2,0,3,1,2
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,46,Unmarried partner,0,Graduate degree (Masters or Doctorate),Unemployed,$100000 or More,never,less1,less1,1~3,less1,1,0,0,1,0,1,1,2,1,6,8,5
No Urgent Place,Partner,Sunny,30,10AM,1d,Female,46,Unmarried partner,0,Graduate degree (Masters or Doctorate),Unemployed,$100000 or More,never,less1,less1,1~3,less1,1,0,0,0,0,1,1,2,1,6,8,5
Home,Alone,Sunny,80,6PM,2h,Female,46,Unmarried partner,0,Graduate degree (Masters or Doctorate),Unemployed,$100000 or More,never,less1,less1,1~3,less1,0,0,1,0,0,1,1,2,1,6,8,5
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,46,Married partner,0,Bachelors degree,Construction & Extraction,$12500 - $24999,1~3,4~8,4~8,1~3,less1,1,0,0,0,2,3,3,2,1,6,1,4
No Urgent Place,Partner,Sunny,30,10AM,1d,Female,46,Married partner,0,Bachelors degree,Construction & Extraction,$12500 - $24999,1~3,4~8,4~8,1~3,less1,1,0,0,1,2,3,3,2,1,6,1,4
Home,Alone,Sunny,80,6PM,2h,Female,46,Married partner,0,Bachelors degree,Construction & Extraction,$12500 - $24999,1~3,4~8,4~8,1~3,less1,0,0,1,1,2,3,3,2,1,6,1,4
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Male,31,Single,1,Associates degree,Installation Maintenance & Repair,$37500 - $49999,1~3,4~8,1~3,1~3,less1,1,0,0,0,2,3,2,2,1,3,3,3
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Male,31,Single,1,Associates degree,Installation Maintenance & Repair,$37500 - $49999,1~3,4~8,1~3,1~3,less1,1,0,0,0,2,3,2,2,1,3,3,3
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,31,Single,1,Associates degree,Installation Maintenance & Repair,$37500 - $49999,1~3,4~8,1~3,1~3,less1,1,0,0,1,2,3,2,2,1,3,3,3
Home,Alone,Sunny,80,6PM,2h,Male,31,Single,1,Associates degree,Installation Maintenance & Repair,$37500 - $49999,1~3,4~8,1~3,1~3,less1,0,0,1,0,2,3,2,2,1,3,3,3
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,50plus,Widowed,0,Some college - no degree,Installation Maintenance & Repair,Less than $12500,never,never,1~3,less1,less1,1,0,0,0,0,0,2,1,1,7,0,2
Home,Alone,Sunny,80,6PM,2h,Male,50plus,Widowed,0,Some college - no degree,Installation Maintenance & Repair,Less than $12500,never,never,1~3,less1,less1,0,0,1,0,0,0,2,1,1,7,0,2
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,never,4~8,1~3,4~8,less1,1,0,0,0,0,3,2,3,1,7,7,5
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,never,4~8,1~3,4~8,less1,1,0,0,0,0,3,2,3,1,7,7,5
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,never,4~8,1~3,4~8,less1,1,0,0,0,0,3,2,3,1,7,7,5
Home,Alone,Sunny,80,6PM,2h,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,never,4~8,1~3,4~8,less1,0,0,1,0,0,3,2,3,1,7,7,5
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,36,Married partner,1,Associates degree,Healthcare Practitioners & Technical,$75000 - $87499,less1,never,4~8,1~3,less1,1,0,0,0,1,0,3,2,1,4,6,3
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,36,Married partner,1,Associates degree,Healthcare Practitioners & Technical,$75000 - $87499,less1,never,4~8,1~3,less1,1,0,0,0,1,0,3,2,1,4,6,3
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,36,Married partner,1,Associates degree,Healthcare Practitioners & Technical,$75000 - $87499,less1,never,4~8,1~3,less1,1,0,0,1,1,0,3,2,1,4,6,3
Home,Alone,Sunny,80,6PM,2h,Female,36,Married partner,1,Associates degree,Healthcare Practitioners & Technical,$75000 - $87499,less1,never,4~8,1~3,less1,0,0,1,0,1,0,3,2,1,4,6,3
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,21,Single,0,Associates degree,Computer & Mathematical,$37500 - $49999,never,less1,1~3,less1,less1,1,0,0,0,0,1,2,1,1,1,3,3
Home,Alone,Sunny,80,6PM,2h,Male,21,Single,0,Associates degree,Computer & Mathematical,$37500 - $49999,never,less1,1~3,less1,less1,0,0,1,0,0,1,2,1,1,1,3,3
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,26,Married partner,0,Graduate degree (Masters or Doctorate),Architecture & Engineering,$100000 or More,1~3,1~3,1~3,4~8,4~8,1,0,0,1,2,2,2,3,3,2,8,5
No Urgent Place,Partner,Sunny,30,10AM,1d,Male,26,Married partner,0,Graduate degree (Masters or Doctorate),Architecture & Engineering,$100000 or More,1~3,1~3,1~3,4~8,4~8,1,0,0,1,2,2,2,3,3,2,8,5
Home,Alone,Sunny,80,6PM,2h,Male,26,Married partner,0,Graduate degree (Masters or Doctorate),Architecture & Engineering,$100000 or More,1~3,1~3,1~3,4~8,4~8,0,0,1,1,2,2,2,3,3,2,8,5
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,less1,4~8,gt8,1~3,less1,1,0,0,0,1,3,4,2,1,5,6,5
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,less1,4~8,gt8,1~3,less1,1,0,0,0,1,3,4,2,1,5,6,5
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,less1,4~8,gt8,1~3,less1,1,0,0,1,1,3,4,2,1,5,6,5
Home,Alone,Sunny,80,6PM,2h,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Computer & Mathematical,$75000 - $87499,less1,4~8,gt8,1~3,less1,0,0,1,1,1,3,4,2,1,5,6,5
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,26,Unmarried partner,0,Bachelors degree,Sales & Related,$75000 - $87499,never,never,1~3,4~8,1~3,1,0,0,0,0,0,2,3,2,2,6,4
No Urgent Place,Partner,Sunny,30,10AM,1d,Male,26,Unmarried partner,0,Bachelors degree,Sales & Related,$75000 - $87499,never,never,1~3,4~8,1~3,1,0,0,0,0,0,2,3,2,2,6,4
Home,Alone,Sunny,80,6PM,2h,Male,26,Unmarried partner,0,Bachelors degree,Sales & Related,$75000 - $87499,never,never,1~3,4~8,1~3,0,0,1,0,0,0,2,3,2,2,6,4
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,50plus,Married partner,1,Bachelors degree,Education&Training&Library,$12500 - $24999,less1,4~8,4~8,gt8,less1,1,0,0,0,1,3,3,4,1,7,1,4
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,50plus,Married partner,1,Bachelors degree,Education&Training&Library,$12500 - $24999,less1,4~8,4~8,gt8,less1,1,0,0,0,1,3,3,4,1,7,1,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,50plus,Married partner,1,Bachelors degree,Education&Training&Library,$12500 - $24999,less1,4~8,4~8,gt8,less1,1,0,0,0,1,3,3,4,1,7,1,4
Home,Alone,Sunny,80,6PM,2h,Female,50plus,Married partner,1,Bachelors degree,Education&Training&Library,$12500 - $24999,less1,4~8,4~8,gt8,less1,0,0,1,0,1,3,3,4,1,7,1,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,50plus,Single,0,Bachelors degree,Installation Maintenance & Repair,$25000 - $37499,never,4~8,4~8,gt8,less1,1,0,0,0,0,3,3,4,1,7,2,4
Home,Alone,Sunny,80,6PM,2h,Female,50plus,Single,0,Bachelors degree,Installation Maintenance & Repair,$25000 - $37499,never,4~8,4~8,gt8,less1,0,0,1,0,0,3,3,4,1,7,2,4
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,26,Single,0,Bachelors degree,Food Preparation & Serving Related,$50000 - $62499,4~8,1~3,4~8,1~3,4~8,1,0,0,1,3,2,3,2,3,2,4,4
No Urgent Place,Partner,Sunny,30,10AM,1d,Male,26,Single,0,Bachelors degree,Food Preparation & Serving Related,$50000 - $62499,4~8,1~3,4~8,1~3,4~8,1,0,0,1,3,2,3,2,3,2,4,4
Home,Alone,Sunny,80,6PM,2h,Male,26,Single,0,Bachelors degree,Food Preparation & Serving Related,$50000 - $62499,4~8,1~3,4~8,1~3,4~8,0,0,1,1,3,2,3,2,3,2,4,4
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Male,41,Married partner,1,Associates degree,Farming Fishing & Forestry,$25000 - $37499,never,never,never,1~3,never,1,0,0,0,0,0,0,2,0,5,2,3
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Male,41,Married partner,1,Associates degree,Farming Fishing & Forestry,$25000 - $37499,never,never,never,1~3,never,1,0,0,0,0,0,0,2,0,5,2,3
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Male,41,Married partner,1,Associates degree,Farming Fishing & Forestry,$25000 - $37499,never,never,never,1~3,never,1,0,0,0,0,0,0,2,0,5,2,3
Home,Alone,Sunny,80,6PM,2h,Male,41,Married partner,1,Associates degree,Farming Fishing & Forestry,$25000 - $37499,never,never,never,1~3,never,0,0,1,0,0,0,0,2,0,5,2,3
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,50plus,Married partner,1,Some college - no degree,Personal Care & Service,$87500 - $99999,never,gt8,less1,1~3,less1,1,0,0,0,0,4,1,2,1,7,7,2
No Urgent Place,Kid(s),Snowy,30,6PM,1d,Female,50plus,Married partner,1,Some college - no degree,Personal Care & Service,$87500 - $99999,never,gt8,less1,1~3,less1,1,0,0,0,0,4,1,2,1,7,7,2
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,50plus,Married partner,1,Some college - no degree,Personal Care & Service,$87500 - $99999,never,gt8,less1,1~3,less1,1,0,0,0,0,4,1,2,1,7,7,2
Home,Alone,Sunny,80,6PM,2h,Female,50plus,Married partner,1,Some college - no degree,Personal Care & Service,$87500 - $99999,never,gt8,less1,1~3,less1,0,0,1,0,0,4,1,2,1,7,7,2
No Urgent Place,Friend(s),Rainy,55,10PM,2h,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Business & Financial,$37500 - $49999,less1,gt8,1~3,1~3,1~3,1,0,0,0,1,4,2,2,2,7,3,5
Home,Alone,Sunny,80,6PM,2h,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Business & Financial,$37500 - $49999,less1,gt8,1~3,1~3,1~3,0,0,1,0,1,4,2,2,2,7,3,5
No Urgent Place,Kid(s),Rainy,55,10PM,1d,Female,21,Married partner,1,Some college - no degree,Student,$12500 - $24999,1~3,1~3,4~8,4~8,never,1,0,0,1,2,2,3,3,0,1,1,2
